status,ex_id_or_norm_key,file,sheet,raw_text
resolved,ex_004,periodized_lifting.xlsx,Strength,Bulgarian split squat
resolved,ex_004,periodized_lifting.xlsx,Strength,Bulgarian split squat
resolved,ex_006,periodized_lifting.xlsx,Strength-Power,SL RDL
resolved,ex_006,periodized_lifting.xlsx,Strength-Power,SL RDL
resolved,ex_006,periodized_lifting.xlsx,Strength-Power,SL RDL
resolved,ex_006,periodized_lifting.xlsx,Strength-Power,SL RDL
resolved,ex_009,periodized_lifting.xlsx,Strength,Landmine Lateral Lunge
resolved,ex_009,periodized_lifting.xlsx,Strength,Landmine Lateral Lunge
resolved,ex_024,periodized_lifting.xlsx,Strength,Pushup
resolved,ex_024,periodized_lifting.xlsx,Strength,Pushup
resolved,ex_038,periodized_lifting.xlsx,Hypertrophy,Prone T
resolved,ex_038,periodized_lifting.xlsx,Hypertrophy,Prone T
resolved,ex_038,periodized_lifting.xlsx,Hypertrophy,Prone T
resolved,ex_041,the_program.xlsx,Arm Care Heavy,Full pronation
resolved,ex_041,maintenance_plan.xlsx,Sheet1,Full Pronation
resolved,ex_044,the_program.xlsx,Dugout Routines,Shaker ball series
resolved,ex_044,the_program.xlsx,Dugout Routines,Shaker ball series
resolved,ex_044,the_program.xlsx,Dugout Routines,Shaker ball series
resolved,ex_051,the_program.xlsx,Arm Care Heavy,Wall sit serratus scoop
resolved,ex_051,periodized_lifting.xlsx,Strength,Wall sit serratus scoop
resolved,ex_051,periodized_lifting.xlsx,Strength,Wall sit serratus scoop
resolved,ex_051,periodized_lifting.xlsx,Strength,Wall sit serratus scoop
resolved,ex_051,periodized_lifting.xlsx,Strength,Wall sit serratus scoop
resolved,ex_053,maintenance_plan.xlsx,Sheet1,Eccentric IR
resolved,ex_054,the_program.xlsx,Dugout Routines,Eccentric pec lowering
resolved,ex_054,the_program.xlsx,Dugout Routines,Eccentric pec lowering
resolved,ex_063,periodized_lifting.xlsx,Strength-Power,Calf raise
resolved,ex_063,periodized_lifting.xlsx,Strength-Power,Calf raise
resolved,ex_063,periodized_lifting.xlsx,Strength-Power,Calf raise
resolved,ex_063,periodized_lifting.xlsx,Strength-Power,Calf raise
resolved,ex_064,the_program.xlsx,Arm Care Light ,Arm car standing
resolved,ex_065,the_program.xlsx,Arm Care Light ,Pot stir
resolved,ex_066,the_program.xlsx,Dynamic Warmup,Driveline cuff Swingers
resolved,ex_066,the_program.xlsx,Post Throw Stretch,Driveline cuff Swingers
resolved,ex_067,the_program.xlsx,Dugout Routines,Flip ups
resolved,ex_067,periodized_lifting.xlsx,Strength,Flip ups
resolved,ex_067,periodized_lifting.xlsx,Strength,Flip ups
resolved,ex_068,the_program.xlsx,Dugout Routines,Ball drops
resolved,ex_068,the_program.xlsx,Dugout Routines,Ball drops
resolved,ex_069,the_program.xlsx,Arm Care Heavy,Fingertip ball drops ￼
resolved,ex_069,the_program.xlsx,Dugout Routines,Fingertip Drops
resolved,ex_069,the_program.xlsx,Dugout Routines,Fingertip Drops
resolved,ex_070,the_program.xlsx,Dugout Routines,Flexor pressout
resolved,ex_070,the_program.xlsx,Dugout Routines,Flexor pressout
resolved,ex_070,maintenance_plan.xlsx,Sheet1,Flexor pressout
resolved,ex_070,maintenance_plan.xlsx,Sheet1,Flexor pressout
resolved,ex_071,the_program.xlsx,Dynamic Warmup,pronator press out
resolved,ex_071,the_program.xlsx,Arm Care Light ,Pronator press out
resolved,ex_071,maintenance_plan.xlsx,Sheet1,Pronator pressout
resolved,ex_072,the_program.xlsx,Arm Care Light ,Moving flexor iso
resolved,ex_073,maintenance_plan.xlsx,Sheet1,Ulnar deviation
resolved,ex_073,maintenance_plan.xlsx,Sheet1,Ulnar deviation
resolved,ex_077,the_program.xlsx,Arm Care Light ,Chair pose snow angel
resolved,ex_078,the_program.xlsx,Arm Care Light ,Prone T ER roll
resolved,ex_079,the_program.xlsx,Arm Care Light ,Weighted PNF
resolved,ex_082,the_program.xlsx,Arm Care Heavy,Tricep kickback to wrist curl
resolved,ex_083,the_program.xlsx,Dugout Routines,Bicep curl to pressout
resolved,ex_086,the_program.xlsx,Arm Care Light ,Lat Hang
resolved,ex_086,the_program.xlsx,Dugout Routines,Lat hang
resolved,ex_087,the_program.xlsx,Post Throw Stretch,Modified sleeper contract relax
resolved,ex_087,the_program.xlsx,Arm Care Light ,Modified sleeper contract relax
resolved,ex_088,the_program.xlsx,Post Throw Stretch,Wrist 3 way
resolved,ex_088,the_program.xlsx,Dugout Routines,Wrist 3 way
resolved,ex_088,maintenance_plan.xlsx,Sheet1,Wrist 3 way
resolved,ex_091,the_program.xlsx,Plyocare ,Decel swings
resolved,ex_092,the_program.xlsx,Dugout Routines,Gyro ball
resolved,ex_092,the_program.xlsx,Dugout Routines,Gyro Ball
resolved,ex_093,the_program.xlsx,Dugout Routines,Wrist dribble
resolved,ex_093,periodized_lifting.xlsx,Strength,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength-Power,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength-Power,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength-Power,Wrist Dribble
resolved,ex_093,periodized_lifting.xlsx,Strength-Power,Wrist Dribble
resolved,ex_094,the_program.xlsx,Dugout Routines,Heavy ball swing series
resolved,ex_094,the_program.xlsx,Dugout Routines,Heavy ball swing series
resolved,ex_118,the_program.xlsx,Inseason SplitRoutine,Short box
resolved,ex_118,the_program.xlsx,Inseason SplitRoutine,Short box
resolved,ex_119,the_program.xlsx,Plyocare ,Bullpen
resolved,ex_129,periodized_lifting.xlsx,Strength,Lat Pulldown
resolved,ex_129,periodized_lifting.xlsx,Strength,Lat Pulldown
resolved,ex_130,periodized_lifting.xlsx,Hypertrophy,Barbell row
resolved,ex_130,periodized_lifting.xlsx,Strength,Barbell row
resolved,ex_130,periodized_lifting.xlsx,Strength,Barbell row
resolved,ex_130,periodized_lifting.xlsx,Strength,Barbell row
