week,day,distance_ft,throws,intensity,drill_or_note,day_total_throws,volume
Week 1,Day 1,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 1,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 1,Day 2,60.0,20.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 1,Day 2,75.0,10.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",40,2145
Week 1,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 1,Day 3,60.0,20.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 1,Day 3,75.0,20.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",50,2670
Week 1,WEEK TOTAL,,,,,,6960
Week 2,Day 1,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 2,Day 1,60.0,10.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 2,Day 1,75.0,15.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 2,Day 1,90.0,10.0,0.75,,45,2722
Week 2,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 2,Day 2,60.0,10.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 2,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 2,Day 2,90.0,15.0,0.75,,,
Week 2,Day 2,60.0,10.0,0.6,,53,3052
Week 2,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 2,Day 3,60.0,10.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 2,Day 3,75.0,15.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 2,Day 3,90.0,15.0,0.75,,,
Week 2,Day 3,60.0,10.0,0.6,,60,3420
Week 2,WEEK TOTAL,,,,,,9194
Week 3,Day 1,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 1,60.0,10.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 1,75.0,15.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 1,90.0,15.0,0.75,,,
Week 3,Day 1,60.0,10.0,0.6,,60,3420
Week 3,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 2,60.0,10.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 2,75.0,10.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 2,90.0,20.0,0.75,,,
Week 3,Day 2,60.0,10.0,0.6,,60,3495
Week 3,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 3,60.0,10.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 3,75.0,10.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 3,90.0,10.0,0.75,,,
Week 3,Day 3,105.0,10.0,0.8,,,
Week 3,Day 3,90.0,3.0,0.75,,,
Week 3,Day 3,75.0,3.0,0.7,,,
Week 3,Day 3,60.0,10.0,0.6,,66,4020
Week 3,WEEK TOTAL,,,,,,10935
Week 4,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 4,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 4,Day 1,75.0,10.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 4,Day 1,90.0,20.0,0.75,,,
Week 4,Day 1,105.0,10.0,0.8,,,
Week 4,Day 1,90.0,3.0,0.8,80% on a line,,
Week 4,Day 1,75.0,6.0,0.8,80% on a line,65,3759
Week 4,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 4,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 4,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
